iter	Passed	Remaining
568	23191	17566
569	23233	17526
570	23275	17486
571	23316	17446
572	23356	17405
573	23397	17364
574	23441	17326
575	23483	17286
576	23524	17245
577	23566	17205
578	23608	17165
579	23648	17124
580	23688	17083
581	23731	17044
582	23771	17003
583	23811	16961
584	23852	16920
585	23892	16879
586	23933	16838
587	23973	16797
588	24017	16759
589	24058	16718
590	24096	16676
591	24138	16635
592	24179	16595
593	24222	16556
594	24254	16509
595	24288	16464
596	24328	16422
597	24366	16380
598	24407	16339
599	24448	16299
600	24491	16259
601	24535	16220
602	24576	16180
603	24619	16141
604	24666	16104
605	24710	16065
606	24752	16025
607	24797	15987
608	24839	15947
609	24877	15905
610	24919	15865
611	24962	15825
612	25005	15786
613	25047	15746
614	25088	15705
615	25132	15666
616	25166	15621
617	25208	15582
618	25248	15540
619	25289	15500
620	25331	15459
621	25371	15418
622	25411	15377
623	25456	15339
624	25502	15301
625	25543	15261
626	25585	15220
627	25616	15174
628	25648	15128
629	25684	15084
630	25717	15039
631	25757	14998
632	25798	14957
633	25839	14916
634	25884	14878
635	25922	14836
636	25963	14795
637	26008	14757
638	26044	14713
639	26078	14669
640	26119	14628
641	26159	14587
642	26201	14547
643	26243	14507
644	26284	14466
645	26324	14425
646	26364	14384
647	26404	14343
648	26448	14303
649	26491	14264
650	26534	14224
651	26577	14185
652	26617	14144
653	26658	14103
654	26698	14062
655	26739	14022
656	26779	13980
657	26819	13939
658	26861	13899
659	26902	13858
660	26943	13818
661	26985	13778
662	27027	13737
663	27069	13697
664	27110	13656
665	27148	13615
666	27191	13575
667	27230	13533
668	27271	13492
669	27315	13453
670	27356	13413
671	27398	13372
672	27443	13334
673	27484	13293
674	27525	13252
675	27569	13213
676	27611	13173
677	27654	13133
678	27696	13093
679	27739	13053
680	27779	13012
681	27822	12973
682	27866	12933
683	27906	12892
684	27946	12851
685	27985	12809
686	28025	12768
687	28067	12728
688	28108	12687
689	28148	12646
690	28188	12605
691	28228	12564
692	28268	12522
693	28309	12482
694	28349	12441
695	28390	12400
696	28433	12360
697	28476	12320
698	28516	12279
699	28550	12235
700	28585	12192
701	28620	12149
702	28660	12108
703	28700	12067
704	28735	12024
705	28776	11983
706	28818	11942
707	28862	11903
708	28903	11863
709	28944	11822
710	28986	11782
711	29027	11741
712	29069	11701
713	29110	11660
714	29153	11620
715	29195	11580
716	29238	11540
717	29279	11499
718	29320	11459
719	29364	11419
720	29407	11379
721	29451	11340
722	29496	11300
723	29539	11260
724	29581	11220
725	29625	11180
726	29673	11142
727	29715	11102
728	29756	11061
729	29797	11021
730	29838	10980
731	29880	10939
732	29921	10899
733	29961	10858
734	30005	10818
735	30044	10776
736	30085	10736
737	30128	10695
738	30170	10655
739	30211	10615
740	30255	10575
741	30299	10535
742	30337	10493
743	30377	10452
744	30419	10412
745	30462	10372
746	30505	10331
747	30546	10291
748	30587	10250
749	30629	10209
750	30673	10169
751	30715	10129
752	30760	10089
753	30805	10050
754	30851	10011
755	30896	9971
756	30943	9932
757	30986	9892
758	31033	9853
759	31076	9813
760	31119	9773
761	31161	9732
762	31206	9693
763	31250	9653
764	31290	9612
765	31333	9571
766	31379	9532
767	31426	9493
768	31477	9455
769	31518	9414
770	31560	9373
771	31602	9333
772	31646	9293
773	31693	9254
774	31739	9214
775	31785	9175
776	31830	9135
777	31874	9095
778	31914	9053
779	31957	9013
780	32000	8973
781	32049	8934
782	32092	8894
783	32149	8857
784	32199	8819
785	32254	8781
786	32313	8745
787	32370	8708
788	32429	8672
789	32478	8633
790	32532	8595
791	32576	8555
792	32621	8515
793	32662	8474
794	32714	8435
795	32768	8397
796	32814	8358
797	32873	8321
798	32925	8282
799	32970	8242
800	33015	8202
801	33058	8161
802	33105	8121
803	33148	8080
804	33191	8040
805	33234	7999
806	33278	7958
807	33321	7918
808	33365	7877
809	33407	7836
810	33450	7795
811	33492	7754
812	33534	7713
813	33576	7672
814	33619	7631
815	33662	7590
816	33705	7549
817	33748	7508
818	33789	7467
819	33838	7427
820	33891	7389
821	33951	7352
822	34010	7314
823	34061	7275
824	34101	7233
825	34145	7192
826	34196	7153
827	34241	7112
828	34299	7075
829	34354	7036
830	34411	6998
831	34475	6961
832	34522	6921
833	34563	6879
834	34608	6838
835	34648	6797
836	34690	6755
837	34733	6714
838	34777	6673
839	34818	6632
840	34860	6590
841	34901	6549
842	34942	6507
843	34985	6466
844	35027	6425
845	35069	6383
846	35113	6342
847	35157	6301
848	35200	6260
849	35242	6219
850	35284	6177
851	35328	6136
852	35369	6095
853	35414	6054
854	35458	6013
855	35499	5971
856	35544	5930
857	35585	5889
858	35626	5847
859	35669	5806
860	35713	5765
861	35758	5724
862	35804	5683
863	35848	5642
864	35891	5601
865	35938	5560
866	35986	5520
867	36032	5479
868	36078	5438
869	36127	5398
870	36174	5357
871	36222	5317
872	36267	5276
873	36315	5235
874	36360	5194
875	36408	5153
876	36455	5112
877	36501	5072
878	36542	5030
879	36584	4988
880	36627	4947
881	36673	4906
882	36719	4865
883	36765	4824
884	36810	4783
885	36858	4742
886	36913	4702
887	36971	4663
888	37013	4621
889	37058	4580
890	37109	4539
891	37156	4498
892	37209	4458
893	37256	4417
894	37307	4376
895	37353	4335
896	37404	4295
897	37465	4255
898	37526	4215
899	37581	4175
900	37629	4134
901	37674	4093
902	37717	4051
903	37760	4009
904	37804	3968
905	37846	3926
906	37887	3884
907	37929	3843
908	37970	3801
909	38010	3759
910	38050	3717
911	38095	3675
912	38138	3634
913	38181	3592
914	38225	3551
915	38267	3509
916	38308	3467
917	38351	3425
918	38393	3383
919	38437	3342
920	38478	3300
921	38521	3258
922	38565	3217
923	38607	3175
924	38650	3133
925	38691	3092
926	38734	3050
927	38775	3008
928	38819	2966
929	38865	2925
930	38912	2883
931	38955	2842
932	38996	2800
933	39041	2758
934	39085	2717
935	39132	2675
936	39175	2634
937	39217	2592
938	39259	2550
939	39301	2508
940	39342	2466
941	39386	2425
942	39432	2383
943	39476	2341
944	39520	2300
945	39563	2258
946	39606	2216
947	39646	2174
948	39691	2133
949	39733	2091
950	39775	2049
951	39816	2007
952	39859	1965
953	39903	1924
954	39946	1882
955	39988	1840
956	40030	1798
957	40071	1756
958	40113	1714
959	40157	1673
960	40200	1631
961	40244	1589
962	40290	1548
963	40331	1506
964	40372	1464
965	40414	1422
966	40458	1380
967	40503	1338
968	40544	1297
969	40586	1255
970	40629	1213
971	40669	1171
972	40712	1129
973	40757	1087
974	40797	1046
975	40841	1004
976	40881	962
977	40923	920
978	40964	878
979	41006	836
980	41047	794
981	41090	753
982	41134	711
983	41177	669
984	41220	627
985	41263	585
986	41306	544
987	41347	502
988	41393	460
989	41436	418
990	41480	376
991	41524	334
992	41566	293
993	41610	251
994	41654	209
995	41697	167
996	41737	125
997	41779	83
998	41821	41
999	41861	0
